sentence,SCONJ,mark,PRON,nsubj,VERB,ROOT,DET,det,NOUN,compound,dobj,relcl,PART,aux,xcomp,ADV,advmod,PUNCT,punct,ccomp,ADP,prep,pobj,CCONJ,cc,conj,npadvmod,AUX,acomp,ADJ,amod,prt,PROPN,poss,nsubjpass,auxpass,NUM,attr,nummod,pcomp,X,INTJ,intj,expl,neg,preconj,predet,advcl,dep,dative,appos,nmod
Medical Missions Project Development and Funding Toolkit.,,,,,,Development,,,,Funding,,,,,,,,.,.,,,,,and,and,Toolkit,,,,,,,Toolkit,,,,,,,,,,,,,,,,,,,
Here is the information that I mentioned in the email from Brandon.,,,I,I,mentioned,is,the,the,email,,that,mentioned,,,,Here,Here,.,.,,from,from,Brandon,,,,,is,,,,,Brandon,,,,,,,,,,,,,,,,,,,
Thank you for reaching out Gabriel.,,,you,,reaching,Thank,,,,,Gabriel,,,,,,,.,.,,out,for,,,,,,,,,,out,Gabriel,,,,,,,reaching,,,,,,,,,,,,
He said you FaceTimed?,,,you,He,said,said,,,,,you,,,,,,,?,?,,,,,,,,FaceTimed,,,,,,FaceTimed,,,,,,,,,,,,,,,,,,,
You should have just received an email with the receipt.,,,You,You,received,received,the,the,receipt,,email,,,have,,just,just,.,.,,with,with,receipt,,,,,have,,,,,,,,,,,,,,,,,,,,,,,,
Thanks for the words of affirmation.,,,,,,Thanks,the,the,affirmation,,,,,,,,,.,.,,of,of,affirmation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thank you Gabe!,,,you,,Thank,Thank,,,,,you,,,,,,,!,!,,,,,,,,Gabe,,,,,,Gabe,,,,,,,,,,,,,,,,,,,
Let me know if you have any questions.,if,if,you,you,know,Let,any,any,questions,,questions,,,,,,,.,.,have,,,,,,,,have,,,,,,,,,,,,,,,,,,,,,,,,
This is awesome!,,,,This,,is,This,,,,,,,,,,,!,!,,,,,,,,,is,awesome,awesome,,,,,,,,,,,,,,,,,,,,,,
Thanks for putting this together.,,,,,putting,Thanks,this,,Thanks,,this,,,,,together,together,.,.,,for,for,,,,,,,,,,,,,,,,,,putting,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
